activity_id,deal_id,type,timestamp,participants,subject,content,outcome
1,1,Email-Outbound,2025-05-06T00:00:00,Rep->Morgan Souza,Pioneer Finance • Closed-Won next steps,"[stub Manufacturing/Positive] Following up on predictive maintenance, quality defects. Prior: N/A",Sent
2,1,Email-Inbound,2025-05-06T00:00:00,Morgan Souza->Rep,Re: Pioneer Finance • Closed-Won next steps,[stub reply] Thanks for the details—let’s review next week.,Reply
3,1,Email-Outbound,2025-05-20T00:00:00,Rep->Morgan Souza,Pioneer Finance • Closed-Won next steps,"[stub Manufacturing/Positive] Following up on ERP integration, cycle time. Prior: Closed-Won thread referencing predictive maintenance, quality defects",Sent
4,1,Email-Inbound,2025-05-20T00:00:00,Morgan Souza->Rep,Re: Pioneer Finance • Closed-Won next steps,[stub reply] Thanks for the details—let’s review next week.,Reply
5,1,Email-Outbound,2025-06-03T00:00:00,Rep->Morgan Souza,Pioneer Finance • Closed-Won next steps,"[stub Manufacturing/Positive] Following up on downtime, supply chain. Prior: Closed-Won thread referencing ERP integration, cycle time",Sent
6,1,Email-Inbound,2025-06-03T00:00:00,Morgan Souza->Rep,Re: Pioneer Finance • Closed-Won next steps,[stub reply] Thanks for the details—let’s review next week.,Reply
7,1,Email-Outbound,2025-06-17T00:00:00,Rep->Morgan Souza,Pioneer Finance • Closed-Won next steps,"[stub Manufacturing/Positive] Following up on OEE, parts traceability. Prior: Closed-Won thread referencing downtime, supply chain",Sent
8,1,Email-Inbound,2025-06-17T00:00:00,Morgan Souza->Rep,Re: Pioneer Finance • Closed-Won next steps,[stub reply] Thanks for the details—let’s review next week.,Reply
9,1,Meeting,2025-07-15T00:00:00,"Riley Silva, Casey Silva, Morgan Souza",Closed-Won discussion,"[stub notes Manufacturing/Closed-Won/Positive] Discussed predictive maintenance, OEE, ERP integration. Attendees: Riley Silva, Casey Silva, Morgan Souza. Next steps assigned.",Agreed next steps
10,2,Email-Outbound,2025-07-09T00:00:00,Rep->Morgan Souza,Pioneer Finance • Qualified next steps,"[stub Manufacturing/Positive] Following up on predictive maintenance, cycle time. Prior: N/A",Sent
11,2,Email-Inbound,2025-07-11T00:00:00,Morgan Souza->Rep,Re: Pioneer Finance • Qualified next steps,[stub reply] Thanks for the details—let’s review next week.,Reply
12,2,Email-Outbound,2025-07-17T00:00:00,Rep->Morgan Souza,Pioneer Finance • Qualified next steps,"[stub Manufacturing/Positive] Following up on shop floor, OEE. Prior: Qualified thread referencing predictive maintenance, cycle time",Sent
13,2,Email-Inbound,2025-07-19T00:00:00,Morgan Souza->Rep,Re: Pioneer Finance • Qualified next steps,[stub reply] Thanks for the details—let’s review next week.,Reply
14,2,Email-Outbound,2025-07-25T00:00:00,Rep->Morgan Souza,Pioneer Finance • Qualified next steps,"[stub Manufacturing/Positive] Following up on OEE, shop floor. Prior: Qualified thread referencing shop floor, OEE",Sent
15,2,Email-Inbound,2025-07-27T00:00:00,Morgan Souza->Rep,Re: Pioneer Finance • Qualified next steps,[stub reply] Thanks for the details—let’s review next week.,Reply
